feature,importance
interest_rate,0.27191850629757747
late_payments_2yr,0.12112057163087647
payment_score,0.09558027464117647
fico_score,0.05223564263338789
payment_risk,0.04826390776999607
fico_times_income,0.04544264318843706
creditworthiness_score,0.04338730141761716
front_end_dti,0.029673690310174895
fico_fair,0.02776751573397354
debt_to_income,0.02226992061490126
credit_utilization_squared,0.019649816315102053
debt_burden_score,0.019280885652873333
credit_utilization,0.015818482457004998
revolving_balance,0.014881626716193454
fico_very_good,0.014727077351650717
